Cn1c(-c2ccccc2)[n+](C)c2ccccc21,hmol_04
Cc1cc(C)c(-c2n(C)c3ccccc3[n+]2C)c(C)c1,hmol_05
Cn1c(-c2c(-c3ccccc3)cccc2-c2ccccc2)[n+](C)c2ccccc21,hmol_06
Cn1c(-c2ccccc2)c(-c2ccccc2)[n+](C)c1-c1ccccc1,hmol_07
Cc1cc(C)c(-c2n(C)c(-c3ccccc3)c(-c3ccccc3)[n+]2C)c(C)c1,hmol_08
CCCCn1c(-c2ccccc2)c(-c2ccccc2)[n+](CCCC)c1-c1c(C)cc(C)cc1C,hmol_09
Cc1c(C)c(-c2n(C)c(-c3ccccc3)c(-c3ccccc3)[n+]2C)c(C)c(C)c1-c1n(C)c(-c2ccccc2)c(-c2ccccc2)[n+]1C,hmol_10
CCCCn1c(-c2ccccc2)c(-c2ccccc2)[n+](C)c1-c1c(C)c(C)c(-c2n(C)c(-c3ccccc3)c(-c3ccccc3)[n+]2CCCC)c(C)c1C,hmol_11
CCn1c(-c2ccccc2)c(-c2ccccc2)[n+](CC)c1-c1c(C)c(C)c(-c2n(CC)c(-c3ccccc3)c(-c3ccccc3)[n+]2CC)c(C)c1C,hmol_12
CCCn1c(-c2ccccc2)c(-c2ccccc2)[n+](CCC)c1-c1c(C)c(C)c(-c2n(CCC)c(-c3ccccc3)c(-c3ccccc3)[n+]2CCC)c(C)c1C,hmol_13
CCCCn1c(-c2ccccc2)c(-c2ccccc2)[n+](CCCC)c1-c1c(C)c(C)c(-c2n(CCCC)c(-c3ccccc3)c(-c3ccccc3)[n+]2CCCC)c(C)c1C,hmol_14
Cc1n(C)cc[n+]1C,rmol_01
Cc1c[n+](C)c(C)n1C,rmol_02
Cc1c(C)[n+](C)c(C)n1C,rmol_03
CCCc1c(CCC)[n+](C)c(CCC)n1C,rmol_04
Cn1c(C(C)(C)C)c(C(C)(C)C)[n+](C)c1C(C)(C)C,rmol_05
CCn1c(C)c[n+](CC)c1C,rmol_06
CCc1c(CC)[n+](C)c(C)n1C,rmol_07
CCCc1c(CCC)[n+](CCC)c(CCC)n1CCC,rmol_08
CC(C)(C)c1c(C(C)(C)C)[n+](C(C)(C)C)c(C(C)(C)C)n1C(C)(C)C,rmol_09
Cn1c(C(C)(C)C)c(C(C)(C)C)[n+](C(C)(C)C)c1C(C)(C)C,rmol_10
Cc1cccc(C)c1-c1n(C)c(-c2ccccc2)c(-c2ccccc2)[n+]1C,rmol_11
Cn1c(Cc2ccccc2)c(Cc2ccccc2)[n+](C)c1Cc1ccccc1,rmol_12
Cc1cccc(C)c1-c1n(-c2ccccc2)c(-c2ccccc2)c(-c2ccccc2)[n+]1-c1ccccc1,rmol_13
Cc1cccc(C)c1Cc1n(Cc2ccccc2)c(Cc2ccccc2)c(Cc2ccccc2)[n+]1Cc1ccccc1,rmol_14
C[n+]1c(Cc2ccccc2)c(Cc2ccccc2)n(-c2ccccc2)c1Cc1ccccc1,rmol_15
C[n+]1c(-c2ccccc2)c(-c2ccccc2)n(Cc2ccccc2)c1-c1ccccc1,rmol_16
CCC[n+]1c(CC)c(CC)n(-c2c(OC)cc(OC)cc2OC)c1-c1c(OC)cccc1OC,rmol_17
CCCn1c(C)c(C)[n+](CCC)c1-c1c(OC)cc(OC)cc1OC,rmol_18
COc1cccc(OC)c1-c1n(-c2ccccc2)c(C)c(C)[n+]1-c1ccccc1,rmol_19
CCc1c(CC)[n+](Cc2ccccc2)c(-c2c(OC)cc(OC)cc2OC)n1Cc1ccccc1,rmol_20
Cc1n(C)c2ccccc2[n+]1C,rmol_21
Cc1ccc2c(c1)n(C)c(C)[n+]2C,rmol_22
Cc1cc2c(cc1C)[n+](C)c(C)n2C,rmol_23
CCCc1cc2c(cc1CCC)[n+](C)c(CCC)n2C,rmol_24
Cn1c(C(C)(C)C)[n+](C)c2cc(C(C)(C)C)c(C(C)(C)C)cc21,rmol_25
CCn1c(C)[n+](CC)c2ccc(C)cc21,rmol_26
CCc1cc2c(cc1CC)[n+](C)c(C)n2C,rmol_27
CCCc1cc2c(cc1CCC)[n+](CCC)c(CCC)n2CCC,rmol_28
CC(C)(C)c1cc2c(cc1C(C)(C)C)[n+](C(C)(C)C)c(C(C)(C)C)n2C(C)(C)C,rmol_29
Cn1c(C(C)(C)C)[n+](C(C)(C)C)c2cc(C(C)(C)C)c(C(C)(C)C)cc21,rmol_30
Cc1cccc(C)c1-c1n(C)c2cc(-c3ccccc3)c(-c3ccccc3)cc2[n+]1C,rmol_31
Cn1c(Cc2ccccc2)[n+](C)c2cc(Cc3ccccc3)c(Cc3ccccc3)cc21,rmol_32
Cc1cccc(C)c1-c1n(-c2ccccc2)c2cc(-c3ccccc3)c(-c3ccccc3)cc2[n+]1-c1ccccc1,rmol_33
Cc1cccc(C)c1Cc1n(Cc2ccccc2)c2cc(Cc3ccccc3)c(Cc3ccccc3)cc2[n+]1Cc1ccccc1,rmol_34
C[n+]1c(Cc2ccccc2)n(-c2ccccc2)c2cc(Cc3ccccc3)c(Cc3ccccc3)cc21,rmol_35
C[n+]1c(-c2ccccc2)n(Cc2ccccc2)c2cc(-c3ccccc3)c(-c3ccccc3)cc21,rmol_36
CCC[n+]1c(-c2c(OC)cccc2OC)n(-c2c(OC)cc(OC)cc2OC)c2cc(CC)c(CC)cc21,rmol_37
CCCn1c(-c2c(OC)cc(OC)cc2OC)[n+](CCC)c2cc(C)c(C)cc21,rmol_38
COc1cccc(OC)c1-c1n(-c2ccccc2)c2cc(C)c(C)cc2[n+]1-c1ccccc1,rmol_39
CCc1cc2c(cc1CC)[n+](Cc1ccccc1)c(-c1c(OC)cc(OC)cc1OC)n2Cc1ccccc1,rmol_40
Cc1c(C)c(-c2n(C)cc[n+]2C)c(C)c(C)c1-c1n(C)cc[n+]1C,rmol_41
Cc1c(C)c(-c2n(C)c(C)c[n+]2C)c(C)c(C)c1-c1n(C)c(C)c[n+]1C,rmol_42
Cc1c(C)c(-c2n(C)c(C)c(C)[n+]2C)c(C)c(C)c1-c1n(C)c(C)c(C)[n+]1C,rmol_43
CCCc1c(CCC)[n+](C)c(-c2c(C)c(C)c(-c3n(C)c(CCC)c(CCC)[n+]3C)c(C)c2C)n1C,rmol_44
Cc1c(C)c(-c2n(C)c(C(C)(C)C)c(C(C)(C)C)[n+]2C)c(C)c(C)c1-c1n(C)c(C(C)(C)C)c(C(C)(C)C)[n+]1C,rmol_45
CCn1cc(C)[n+](CC)c1-c1c(C)c(C)c(-c2n(CC)cc(C)[n+]2CC)c(C)c1C,rmol_46
CCc1c(CC)[n+](C)c(-c2c(C)c(C)c(-c3n(C)c(CC)c(CC)[n+]3C)c(C)c2C)n1C,rmol_47
CCCc1c(CCC)[n+](CCC)c(-c2c(C)c(C)c(-c3n(CCC)c(CCC)c(CCC)[n+]3CCC)c(C)c2C)n1CCC,rmol_48
Cc1c(C)c(-c2n(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)[n+]2C(C)(C)C)c(C)c(C)c1-c1n(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)[n+]1C(C)(C)C,rmol_49
Cc1c(C)c(-c2n(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)[n+]2C)c(C)c(C)c1-c1n(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)[n+]1C,rmol_50
Cc1c(C)c(-c2n(C)c(-c3ccccc3)c(-c3ccccc3)[n+]2C)c(C)c(C)c1-c1n(C)c(-c2ccccc2)c(-c2ccccc2)[n+]1C,rmol_51
Cc1c(C)c(-c2n(C)c(Cc3ccccc3)c(Cc3ccccc3)[n+]2C)c(C)c(C)c1-c1n(C)c(Cc2ccccc2)c(Cc2ccccc2)[n+]1C,rmol_52
Cc1c(C)c(-c2n(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)[n+]2-c2ccccc2)c(C)c(C)c1-c1n(-c2ccccc2)c(-c2ccccc2)c(-c2ccccc2)[n+]1-c1ccccc1,rmol_53
Cc1c(C)c(-c2n(Cc3ccccc3)c(Cc3ccccc3)c(Cc3ccccc3)[n+]2Cc2ccccc2)c(C)c(C)c1-c1n(Cc2ccccc2)c(Cc2ccccc2)c(Cc2ccccc2)[n+]1Cc1ccccc1,rmol_54
Cc1c(C)c(-c2n(C)c(Cc3ccccc3)c(Cc3ccccc3)[n+]2-c2ccccc2)c(C)c(C)c1-c1n(C)c(Cc2ccccc2)c(Cc2ccccc2)[n+]1-c1ccccc1,rmol_55
Cc1c(C)c(-c2n(C)c(-c3ccccc3)c(-c3ccccc3)[n+]2Cc2ccccc2)c(C)c(C)c1-c1n(C)c(-c2ccccc2)c(-c2ccccc2)[n+]1Cc1ccccc1,rmol_56
CCC[n+]1c(CC)c(CC)n(-c2c(OC)cc(OC)cc2OC)c1-c1c(C)c(C)c(-c2n(-c3c(OC)cc(OC)cc3OC)c(CC)c(CC)[n+]2CCC)c(C)c1C,rmol_57
CCCn1c(C)c(C)[n+](CCC)c1-c1c(C)c(C)c(-c2n(CCC)c(C)c(C)[n+]2CCC)c(C)c1C,rmol_58
Cc1c(C)c(-c2n(-c3ccccc3)c(C)c(C)[n+]2-c2ccccc2)c(C)c(C)c1-c1n(-c2ccccc2)c(C)c(C)[n+]1-c1ccccc1,rmol_59
CCc1c(CC)[n+](Cc2ccccc2)c(-c2c(C)c(C)c(-c3n(Cc4ccccc4)c(CC)c(CC)[n+]3Cc3ccccc3)c(C)c2C)n1Cc1ccccc1,rmol_60
Cc1cc(C)c(-c2n(C)c3ccccc3[n+]2C)c(C)c1-c1n(C)c2ccccc2[n+]1C,rmol_61
Cc1ccc2c(c1)[n+](C)c(-c1c(C)cc(C)c(-c3n(C)c4ccc(C)cc4[n+]3C)c1C)n2C,rmol_62
Cc1cc2c(cc1C)[n+](C)c(-c1c(C)cc(C)c(-c3n(C)c4cc(C)c(C)cc4[n+]3C)c1C)n2C,rmol_63
CCCc1cc2c(cc1CCC)[n+](C)c(-c1c(C)cc(C)c(-c3n(C)c4cc(CCC)c(CCC)cc4[n+]3C)c1C)n2C,rmol_64
Cc1cc(C)c(-c2n(C)c3cc(C(C)(C)C)c(C(C)(C)C)cc3[n+]2C)c(C)c1-c1n(C)c2cc(C(C)(C)C)c(C(C)(C)C)cc2[n+]1C,rmol_65
CCn1c(-c2c(C)cc(C)c(-c3n(CC)c4ccc(C)cc4[n+]3CC)c2C)[n+](CC)c2cc(C)ccc21,rmol_66
CCc1cc2c(cc1CC)[n+](C)c(-c1c(C)cc(C)c(-c3n(C)c4cc(CC)c(CC)cc4[n+]3C)c1C)n2C,rmol_67
CCCc1cc2c(cc1CCC)[n+](CCC)c(-c1c(C)cc(C)c(-c3n(CCC)c4cc(CCC)c(CCC)cc4[n+]3CCC)c1C)n2CCC,rmol_68
Cc1cc(C)c(-c2n(C(C)(C)C)c3cc(C(C)(C)C)c(C(C)(C)C)cc3[n+]2C(C)(C)C)c(C)c1-c1n(C(C)(C)C)c2cc(C(C)(C)C)c(C(C)(C)C)cc2[n+]1C(C)(C)C,rmol_69
Cc1cc(C)c(-c2n(C)c3cc(C(C)(C)C)c(C(C)(C)C)cc3[n+]2C(C)(C)C)c(C)c1-c1n(C)c2cc(C(C)(C)C)c(C(C)(C)C)cc2[n+]1C(C)(C)C,rmol_70
